Kab/Kota Provinsi Sumatera Utara (12)
=========================
Kode	Nama Kab/Kota
=========================
01 	NIAS	
02 	MANDAILING NATAL
03 	TAPANULI SELATAN
04 	TAPANULI TENGAH	
05 	TAPANULI UTARA	
06 	TOBA SAMOSIR	
07 	LABUHAN BATU	
08 	ASAHAN
09 	SIMALUNGUN	
10 	DAIRI	
11 	KARO	
12 	DELI SERDANG	
13 	LANGKAT	
14 	NIAS SELATAN	
15 	HUMBANG HASUNDUTAN	
16 	PAKPAK BHARAT
17 	SAMOSIR
18 	SERDANG BEDAGAI	
19 	BATU BARA	
20 	PADANG LAWAS UTARA	
21 	PADANG LAWAS	
22 	LABUHAN BATU SELATAN	
23 	LABUHAN BATU UTARA	
24 	NIAS UTARA	
25 	NIAS BARAT	
71 	SIBOLGA
72 	TANJUNG BALAI	
73 	PEMATANG SIANTAR	
74 	TEBING TINGGI	
75 	MEDAN	
76 	BINJAI	
77 	PADANGSIDIMPUAN	
78 	GUNUNGSITOLI
